timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-04-03T11:15:29-04:00,509,---,15.41,---,0.5,0,0.5,97607.2,75.8
2023-04-04T02:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-04-04T06:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-04-04T11:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-04-04T11:35:10-04:00,530.1,---,29.17,---,3.2,1.3,2.3,97862.7,77.3
2023-04-04T11:54:30-04:00,510.8,---,29,---,3.2,1.1,1.8,---,77.5
2023-04-04T12:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-04-04T12:25:30-04:00,506.7,---,---,---,1.6,0.9,1.6,97823.7,---
2023-04-04T12:45:53-04:00,507.4,---,28.81,---,1.9,0.8,1.5,97799.5,78
2023-04-04T13:04:15-04:00,---,---,---,---,---,---,---,97775.3,---
2023-04-04T13:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-04-04T13:35:49-04:00,529,---,28.46,---,1.7,0.8,1.3,97768.3,78.9
2023-04-04T13:53:10-04:00,525,---,28.53,---,1.5,0.6,1.3,97758.9,78.9
2023-04-04T14:09:36-04:00,520.7,---,28.79,---,1.9,0.7,0.9,97762.2,79
2023-04-04T14:26:08-04:00,524.9,---,---,---,---,---,---,97775,---
2023-04-04T14:42:28-04:00,530.3,---,28.87,---,1.6,0.8,1.4,97808.6,78.9
2023-04-04T15:01:56-04:00,---,---,29.07,---,---,---,---,---,78.9
2023-04-04T15:21:21-04:00,---,---,29.19,---,1.5,0.7,1,---,79.1
2023-04-04T15:38:55-04:00,529.7,---,29.09,---,1.3,0.8,1.3,97868.4,79.3
2023-04-04T16:00:04-04:00,538,---,29.12,---,0,0,0,97896.6,79.3
2023-04-04T16:14:23-04:00,526,---,29.18,---,1.2,0.5,1,97923.9,79.3
2023-04-04T16:30:17-04:00,527.2,---,---,---,0.8,0.1,0.7,---,---
2023-04-04T16:47:43-04:00,537.2,---,29.4,---,0.8,0.2,0.6,97980.8,79.1
2023-04-04T17:05:02-04:00,513.8,---,29.32,---,0.5,0.2,0.4,97986.7,79.3
2023-04-04T17:22:41-04:00,491.7,---,29.23,---,0.3,0.1,0.3,---,79.4
2023-04-04T17:38:50-04:00,480,---,29.17,---,0.5,0.3,0.5,98039.8,79.5
2023-04-04T17:54:15-04:00,473.2,---,28.94,---,0.4,0.2,0.4,98052.8,---
2023-04-04T18:13:02-04:00,465.8,---,28.74,---,0.5,0.1,0.5,98059.3,79.4
