timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-08-09T22:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T01:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T04:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T07:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T10:00:42-04:00,759.2,---,53.2,---,7.2,4.2,7,97052.3,78.3
2023-08-10T10:18:06-04:00,557,---,55.51,---,6.3,3.1,5.5,97026.4,76.1
2023-08-10T10:32:06-04:00,558.2,---,55.98,---,6,3.8,5.6,97027.9,75.3
2023-08-10T10:49:07-04:00,566.3,---,54.95,---,6.2,3.6,6.1,97046.8,75.6
2023-08-10T11:05:07-04:00,565.4,---,54.58,---,5.3,2.9,5,97003.8,75.7
2023-08-10T11:21:07-04:00,568.1,---,54.44,---,7.1,3.2,5.6,96993.7,75.7
2023-08-10T11:38:07-04:00,548,---,53.97,---,6.3,3.1,5.2,96968.3,76
2023-08-10T11:53:07-04:00,553.9,---,53.68,---,6.3,3.4,5.4,96967,76.1
2023-08-10T12:09:07-04:00,556.9,---,53.39,---,6,3.6,5.7,96942.5,76.3
2023-08-10T12:25:07-04:00,553.3,---,53.15,---,5.7,3.6,5.3,96935.5,76.4
2023-08-10T12:41:08-04:00,539.2,---,52.84,---,5.9,3.7,5.5,96919.2,76.4
2023-08-10T12:58:08-04:00,541.8,---,52.7,---,7.2,3.9,6.7,96900.8,76.5
2023-08-10T13:14:08-04:00,543.8,---,52.83,---,7.3,3.8,6.5,96869.8,76.5
2023-08-10T13:30:08-04:00,545.8,---,52.63,---,6.1,3.9,6,96846.7,76.6
2023-08-10T13:46:08-04:00,528.1,---,52.61,---,7.4,4.3,7,96823.4,76.7
2023-08-10T14:02:09-04:00,540.5,---,52.87,---,15.4,7.3,13,96824,76.8
2023-08-10T14:19:10-04:00,547.8,---,52.78,---,10.5,5.6,9.1,96818.5,76.9
2023-08-10T14:35:09-04:00,550.1,---,52.66,---,7.3,4.2,6.9,96831.3,76.9
2023-08-10T14:51:09-04:00,543,---,52.6,---,9.2,5,7.9,96833.4,77.1
2023-08-10T15:07:09-04:00,533.7,---,52.38,---,7.8,4.8,7.5,96814.2,77.2
2023-08-10T15:22:10-04:00,526.3,---,52.27,---,7.5,3.8,6.3,96773.6,77.2
2023-08-10T15:39:10-04:00,536.8,---,52.31,---,6.2,3.9,6,96725.2,77.3
2023-08-10T15:55:11-04:00,547.6,---,52.26,---,6.6,3.8,5.8,96752.4,77.3
2023-08-10T16:11:10-04:00,553.2,---,52.46,---,5.4,3.3,4.5,96744.3,77.3
2023-08-10T16:28:10-04:00,541.6,---,52.3,---,6.9,3.9,5.8,96738.7,77.3
2023-08-10T16:44:10-04:00,544.8,---,52.82,---,5.3,3,5,96744,77.4
2023-08-10T16:57:10-04:00,535.4,---,53.5,---,6.1,2.6,5,96741,77.4
2023-08-10T17:13:11-04:00,509.8,---,53.86,---,5.8,2.8,5.4,96737.5,77.5
2023-08-10T17:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T17:46:11-04:00,477.2,---,54.46,---,4.1,2,3.7,96765.8,77.3
