timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-08-10T02:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T05:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T08:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T10:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T13:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T14:28:47-04:00,578.1,---,50.92,---,9,5.1,8.3,96905.5,77.9
2023-08-10T14:42:48-04:00,572.1,---,53.19,---,8,4.6,7.7,96906.4,76.4
2023-08-10T14:57:47-04:00,557.1,---,53.81,---,9.4,5.3,8.8,96911.8,76
2023-08-10T15:13:48-04:00,544.6,---,52.88,---,8.5,4.6,7.4,96880.7,76.5
2023-08-10T15:28:48-04:00,548.5,---,52.52,---,8.3,4.5,7.3,96823.7,76.8
2023-08-10T15:41:55-04:00,558.8,---,52.36,---,7,3.8,6.7,96822.3,77
2023-08-10T15:56:48-04:00,569.2,---,52.12,---,7,4.3,6.4,96825.1,77.1
2023-08-10T16:10:48-04:00,571.1,---,52.24,---,6,3.4,5.6,96816.4,77.3
2023-08-10T16:26:48-04:00,561,---,51.99,---,8.4,4.5,7.1,96820.6,77.4
2023-08-10T16:40:48-04:00,565.4,---,52.33,---,5.9,3.8,5.9,96821,77.5
2023-08-10T16:55:49-04:00,562.8,---,52.95,---,5.6,3,5.6,96805.4,77.6
2023-08-10T17:10:49-04:00,531.4,---,53.23,---,4.8,2.4,4.7,96804.8,77.7
2023-08-10T17:26:06-04:00,517.9,---,53.57,---,4.9,2.3,4.1,96820.5,77.7
2023-08-10T17:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T17:54:52-04:00,492.8,---,54,---,4,2.2,3.7,96831.5,77.6
2023-08-10T18:09:50-04:00,482.9,---,54.31,---,4.6,2,3.6,96821.7,77.6
2023-08-10T18:23:50-04:00,477.8,---,54.61,---,3.3,2,3.1,96854.5,77.5
2023-08-10T18:38:50-04:00,466.9,---,54.75,---,3.6,2,3.2,96874.3,77.5
2023-08-10T18:53:51-04:00,462,---,54.76,---,3.2,1.5,3.1,96865.1,77.3
2023-08-10T19:08:51-04:00,458.9,---,54.77,---,3.5,1.6,3.5,96901.6,77.3
2023-08-10T19:22:51-04:00,456.1,---,54.85,---,3.7,1.8,3.3,96930.5,77.2
2023-08-10T19:37:52-04:00,450.9,---,54.99,---,4.3,2,3.7,96945,77.2
2023-08-10T19:51:53-04:00,447.3,---,55.2,---,4.3,2.6,3.8,96950.2,77.1
2023-08-10T20:06:52-04:00,444.7,---,55.92,---,5.3,2.6,4.9,96947.7,77
2023-08-10T20:20:53-04:00,444.9,---,56.82,---,6.2,2.9,5.5,96945.7,77.1
2023-08-10T20:34:53-04:00,440.3,---,56.96,---,5.9,3.2,5.8,96965.6,77.3
2023-08-10T20:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T21:05:01-04:00,441.5,---,57.24,---,5.9,3.5,5.8,97023.9,77.6
2023-08-10T21:19:54-04:00,445.9,---,57.47,---,6.5,3.6,6.3,97036.7,77.7
2023-08-10T21:33:54-04:00,443.8,---,57.33,---,7.8,3.7,6.5,97053,77.8
