timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-08-10T01:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T04:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T06:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T09:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T12:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T13:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T13:25:45-04:00,547.3,---,52.39,---,8.3,4,7.4,96812.2,76.5
2023-08-10T13:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T13:54:56-04:00,---,---,---,---,---,---,---,96777.1,---
2023-08-10T14:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T14:23:46-04:00,543.6,---,54.91,---,10.1,5.1,9,96768.6,75.4
2023-08-10T14:38:46-04:00,544.8,---,53.34,---,7.7,5,7.4,96784.4,76.4
2023-08-10T14:53:46-04:00,537,---,53,---,8.9,4.9,8,96785,76.6
2023-08-10T15:09:46-04:00,530.5,---,52.67,---,8.2,4.7,7.2,96768.8,76.7
2023-08-10T15:23:46-04:00,526.5,---,52.54,---,8.2,4.3,7.3,96721,76.8
2023-08-10T15:38:46-04:00,535.3,---,52.37,---,7.3,3.8,6.3,96696.7,77
2023-08-10T15:53:46-04:00,543.2,---,52.36,---,7.3,4.4,7,96707.6,77.1
2023-08-10T16:08:46-04:00,554.5,---,52.38,---,6.1,3.3,6,96705.3,77.1
2023-08-10T16:22:52-04:00,545.9,---,52.19,---,9.3,4.5,8.1,96709.2,77.2
2023-08-10T16:37:47-04:00,541,---,52.44,---,5.8,3.3,5,96705.3,77.2
2023-08-10T16:51:48-04:00,539.8,---,53.23,---,5.2,3.2,5,96693.6,77.2
2023-08-10T17:06:47-04:00,513.7,---,53.73,---,5,2.5,4.8,96683.2,77.3
2023-08-10T17:20:48-04:00,494.4,---,53.99,---,4.1,2.4,3.8,96690.5,77.3
2023-08-10T17:37:47-04:00,481,---,54.31,---,5.3,2.9,4.8,96712.5,77.3
2023-08-10T17:51:48-04:00,471.7,---,54.62,---,3.7,1.9,3.6,96712.2,77.2
2023-08-10T18:06:47-04:00,460.3,---,55.05,---,4.3,2.2,3.7,96708.4,77.1
2023-08-10T18:20:47-04:00,460.3,---,55.31,---,3.5,1.8,3.3,96738.2,77.1
2023-08-10T18:36:47-04:00,449.7,---,55.5,---,4,1.8,3,96757.6,77
2023-08-10T18:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T19:04:48-04:00,439,---,55.56,---,4.3,2.2,3.5,96782.4,76.9
