timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-08-10T23:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T23:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T23:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T23:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T23:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T00:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T00:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T00:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T00:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T00:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T01:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T01:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T01:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T01:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T01:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T02:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T02:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T02:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T02:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T02:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T03:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T03:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T03:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T03:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T03:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T04:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T04:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T04:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T04:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T04:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T05:00:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T05:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T05:20:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T05:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T05:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T06:00:00-04:00,---,---,---,---,---,---,---,---,---
