timestamp,co2[ppm],exposure[null],full_particulate[undefined],humidity[%],pm0p3_cpl_a[counts/dL],pm0p3_cpl_b[counts/dL],pm0p5_cpl_a[counts/dL],pm0p5_cpl_b[counts/dL],pm10p0[null],pm10p0_atm_a[ug/m^3],pm10p0_atm_b[ug/m^3],pm10p0_cf1_a[ug/m^3],pm10p0_cf1_b[ug/m^3],pm10p0_cpl_a[counts/dL],pm10p0_cpl_b[counts/dL],pm1p0[null],pm1p0_atm_a[ug/m^3],pm1p0_atm_b[ug/m^3],pm1p0_cf1_a[ug/m^3],pm1p0_cf1_b[ug/m^3],pm1p0_cpl_a[counts/dL],pm1p0_cpl_b[counts/dL],pm2p5[ug/m^3],pm2p5_atm_a[ug/m^3],pm2p5_atm_b[ug/m^3],pm2p5_cf1_a[ug/m^3],pm2p5_cf1_b[ug/m^3],pm2p5_cpl_a[counts/dL],pm2p5_cpl_b[counts/dL],pm5p0_cpl_a[counts/dL],pm5p0_cpl_b[counts/dL],pressure[Pa],temperature[°F]
2023-06-27T21:47:39-04:00,566.667,1,---,54.795,1272.5,1265.75,370.833,362.75,13.333,14.583,12.083,14.583,12.083,0.333,0,5.625,5.333,5.917,5.333,5.917,117.833,94.833,12.625,13.5,11.75,13.5,11.75,15.167,9.083,1.167,0.333,98161.6,76
2023-06-27T21:48:39-04:00,563.833,1,---,55.039,1305,1202,372.5,358.833,13.417,14.5,12.333,14.5,12.333,0,0.417,6.167,6.25,6.083,6.25,6.083,114,101.167,12.042,12.417,11.667,12.417,11.667,12,9.667,3.333,0.75,98158.767,75.9
2023-06-27T21:49:39-04:00,562.333,1,---,55.047,1267.5,1216.25,366,357.833,14.625,15.083,14.167,15.083,14.167,0,0.583,5.542,5.583,5.5,5.583,5.5,130.5,106.417,13.75,14.667,12.833,14.667,12.833,13.5,12.917,0.5,1.5,98154.308,75.8
2023-06-27T21:51:39-04:00,566.25,1,---,55.17,1406,1180.5,411.167,338.333,14.958,17.083,12.833,17.083,12.833,0.5,0.333,6.333,6.75,5.917,6.75,5.917,129,95.333,13.917,15.833,12,15.833,12,18.833,13,1.833,1.083,98147.708,76
2023-06-27T21:52:39-04:00,563.417,1,---,55.004,1342.5,1159.25,391.167,328.583,14.417,16.167,12.667,16.167,12.667,0,0,6.042,6.75,5.333,6.75,5.333,119.167,105.083,13.417,15.167,11.667,15.167,11.667,16.167,13.417,0.333,0.75,98146.675,76
2023-06-27T21:54:39-04:00,559.583,1,---,54.628,1284,1180.25,377,352,15.042,15.5,14.583,15.5,14.583,0,0.833,6.167,6.417,5.917,6.417,5.917,117.167,115.25,14.375,15.167,13.583,15.167,13.583,16.333,14.417,0.333,1.083,98137.742,76.2
2023-06-27T21:55:39-04:00,564.917,1,---,55.234,1299.5,1236.5,377.667,362.833,14.042,14.917,13.167,14.917,13.167,0,0.333,6.625,6.5,6.75,6.5,6.75,114.167,102.667,13.25,13.75,12.75,13.75,12.75,11.667,12.083,1.333,0.583,98136.483,76.1
2023-06-27T21:56:39-04:00,602,1,---,54.959,1333,1164.5,382.333,339.667,13.5,14.25,12.75,14.25,12.75,0,0.667,5.583,5.917,5.25,5.917,5.25,111.667,90.167,13,14.083,11.917,14.083,11.917,14.667,12.583,0,1.167,98129.283,76.3
2023-06-27T21:58:39-04:00,564.583,1,---,54.548,1289,1170.75,366.833,346.583,14.125,16.167,12.083,16.167,12.083,1.667,0,6.542,6.583,6.5,6.583,6.5,114.333,89.833,13.25,14.75,11.75,14.75,11.75,18.167,10.583,2,0.417,98125.1,76.4
2023-06-27T21:59:39-04:00,578.667,1,---,54.509,1284.5,1233.5,358.833,362.75,13.167,14,12.333,14,12.333,0.833,0,5.958,5.583,6.333,5.583,6.333,102.833,92.25,12.333,12.5,12.167,12.5,12.167,12.833,10.5,1.667,0,98125.025,76.5
2023-06-27T22:01:39-04:00,558.417,1,---,54.342,1159,1156.5,322.833,341.167,12.667,12.75,12.583,12.75,12.583,0,0.083,5,4.667,5.333,4.667,5.333,96.333,95.583,12.25,12.167,12.333,12.167,12.333,15.5,12.667,0,0.167,98120.092,76.6
2023-06-27T22:02:39-04:00,556.727,1,---,54.202,1179.273,1190.182,352,341.636,13.409,14.364,12.455,14.364,12.455,0.909,0,5.773,5.727,5.818,5.727,5.818,108.909,94.545,12.682,13.182,12.182,13.182,12.182,14,9.091,2,0.273,98119.755,76.7
2023-06-27T22:03:39-04:00,559,1,---,54.114,1118.5,1023.25,325.167,297.5,12.125,13.167,11.083,13.167,11.083,0,0,5.292,5.25,5.333,5.25,5.333,101.833,77.5,11.208,12.417,10,12.417,10,12.833,9.667,1.5,1.5,98118.9,76.8
2023-06-27T22:05:39-04:00,562.5,1,---,53.708,1286,996.5,382.5,292.667,12.292,14.583,10,14.583,10,0.833,0,5.5,6.5,4.5,6.5,4.5,108.167,75.583,11.417,13.583,9.25,13.583,9.25,14.167,7.583,1.5,0.75,98116.883,77.1
2023-06-27T22:06:39-04:00,558.583,1,---,53.484,1173,1160.25,346.833,340,14.042,15.333,12.75,15.333,12.75,0.333,0,6,6.083,5.917,6.083,5.917,102.833,106.25,13.417,14.25,12.583,14.25,12.583,21.333,8.25,1.333,0.417,98118.083,77.2
2023-06-27T22:08:39-04:00,561.25,---,---,---,1106,1195.25,321,348.25,12.5,12.417,12.583,12.417,12.583,0,0,5.625,5.25,6,5.25,6,92.667,97.667,11.875,11.417,12.333,11.417,12.333,11.333,11.333,1.167,0,---,77.4
2023-06-27T22:09:39-04:00,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,98108,---
