timestamp,co2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-08-10T00:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T03:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T06:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T08:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T11:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T12:26:45-04:00,536,---,51.19,---,6.8,4.2,6.1,96791.4,77.3
2023-08-10T12:40:45-04:00,530,---,52.72,---,7.6,4.3,7.3,96784.1,76.2
2023-08-10T12:56:46-04:00,529.3,---,52.87,---,8.3,4.9,7.8,96764.3,76
2023-08-10T13:10:55-04:00,527.8,---,53.3,---,8,4.4,6.7,96740.5,75.8
2023-08-10T13:25:46-04:00,534.3,---,51.65,---,7.3,3.6,7,96718.3,76.8
2023-08-10T13:40:46-04:00,530.8,---,51.37,---,8.8,5,8,96693.9,77.1
2023-08-10T13:54:57-04:00,519.6,---,51.47,---,7.1,4.3,6.6,96690,77.2
2023-08-10T14:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T14:25:47-04:00,538.8,---,51.52,---,9,5.3,8.5,96680.3,77.4
2023-08-10T14:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T14:53:48-04:00,525.2,---,50.93,---,9,5.4,8.9,96693.7,77.7
2023-08-10T15:10:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T15:24:47-04:00,515,---,50.49,---,8.1,4.3,7.1,96626.2,77.9
2023-08-10T15:39:47-04:00,523.3,---,50.44,---,8.2,5,7.6,96614.8,78
2023-08-10T15:54:48-04:00,533.3,---,50.45,---,6.6,4.1,6.1,96613.5,78
2023-08-10T16:09:47-04:00,535.8,---,50.56,---,6.3,3.6,6,96612.1,78.1
2023-08-10T16:24:48-04:00,534.9,---,50.37,---,8.9,4.6,8.1,96617.2,78.2
2023-08-10T16:40:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T16:54:49-04:00,525.8,---,51.56,---,5.6,2.9,4.9,96598.2,78.2
2023-08-10T17:09:48-04:00,498.3,---,51.98,---,4.3,2.8,4,96597,78.2
2023-08-10T17:24:48-04:00,482.6,---,52.38,---,5.2,2.3,4.3,96611.2,78.2
2023-08-10T17:39:48-04:00,470.8,---,52.58,---,4,2.7,4,96625.6,78.2
2023-08-10T17:52:49-04:00,463,---,52.85,---,5.1,2.4,4.3,96623.8,78.1
2023-08-10T18:07:49-04:00,452.4,---,53.22,---,4.1,2,3.5,96612.8,78
2023-08-10T18:21:49-04:00,446.9,---,53.53,---,4.5,2.3,3.6,96644.6,78
2023-08-10T18:36:49-04:00,442.6,---,53.73,---,4.1,2.2,3.8,96662.3,77.9
2023-08-10T18:50:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-10T19:04:51-04:00,431.9,---,53.73,---,4.5,2.3,3.7,96688.2,77.7
2023-08-10T19:19:54-04:00,427.2,---,53.82,---,4.1,2.1,3.5,96717.4,77.7
2023-08-10T19:34:50-04:00,423.7,---,53.9,---,4,2.3,3.3,96734,77.6
2023-08-10T19:49:50-04:00,421.1,---,54,---,4.5,2.5,4.3,96748.8,77.6
2023-08-10T20:03:52-04:00,415.5,---,54.33,---,5,2.7,4.3,96744.7,77.6
2023-08-10T20:19:51-04:00,413.8,---,55.4,---,5.6,2.9,5.1,96739.6,77.7
2023-08-10T20:33:51-04:00,411.7,---,55.82,---,7.1,3.6,6.1,96764.3,77.8
2023-08-10T20:48:51-04:00,414.3,---,56.05,---,6.8,3.3,5.6,96782.3,78
2023-08-10T21:03:51-04:00,413.7,---,56.24,---,6.2,3.5,5.7,96820.6,78.1
2023-08-10T21:19:51-04:00,416.1,---,56.41,---,8.1,4.1,7,96835.8,78.1
2023-08-10T21:33:52-04:00,414.2,---,56.31,---,7.5,3.8,6.5,96844,78.2
2023-08-10T21:49:52-04:00,414.9,---,56.34,---,7.7,4.2,7.4,96863.6,78.2
2023-08-10T22:03:55-04:00,416.7,---,56.36,---,7.8,4.1,6.7,96863.8,78.3
2023-08-10T22:18:53-04:00,419,---,56.27,---,9,4.3,7.3,96866.1,78.2
2023-08-10T22:33:53-04:00,418.1,---,56.12,---,7.8,4,6.7,96862.8,78.3
2023-08-10T22:48:53-04:00,424.3,---,56.11,---,7.4,3.5,6.5,96870.4,78.3
2023-08-10T23:02:54-04:00,427.9,---,55.94,---,6.2,3.4,5.7,96865,78.4
2023-08-10T23:17:54-04:00,434.8,---,55.8,---,8,3.7,5.9,96848.8,78.4
2023-08-10T23:31:54-04:00,437.5,---,55.66,---,6.6,3.5,5.5,96850.1,78.4
2023-08-10T23:45:54-04:00,442.3,---,55.6,---,6.7,3,5.1,96851.9,78.5
2023-08-11T00:00:55-04:00,442.8,---,55.52,---,6.2,2.7,5.4,96870.3,78.5
2023-08-11T00:15:55-04:00,446.3,---,55.23,---,5.9,2.9,5.3,96894.7,78.5
2023-08-11T00:30:00-04:00,---,---,---,---,---,---,---,---,---
2023-08-11T00:45:55-04:00,451.6,---,55.24,---,6.4,2.8,5.2,96895.7,78.5
2023-08-11T00:59:55-04:00,454.5,---,55.31,---,5.9,3.1,5.3,96890.8,78.3
2023-08-11T01:12:55-04:00,455.5,---,55.31,---,5.9,3.2,4.9,96887.9,78.3
2023-08-11T01:28:55-04:00,462.2,---,55.28,---,5.5,3.3,5.5,96885,78.2
