timestamp,co2[ppm],heartbeat[undefined],humidity[%],temperature[°F]
2023-11-10T17:10:00-05:00,---,---,---,---
2023-11-10T18:16:16-05:00,1500.3,---,44.47,70.5
2023-11-10T18:56:16-05:00,1940.9,---,50.52,70.7
2023-11-10T19:37:16-05:00,1743.2,---,48.59,70.1
2023-11-10T20:17:16-05:00,1492.8,---,47.09,68.9
2023-11-10T20:57:17-05:00,1287.6,---,46.19,68.4
2023-11-10T21:37:17-05:00,1137.7,---,45.64,67.7
2023-11-10T22:17:17-05:00,1073.6,---,45.44,68
2023-11-10T22:57:17-05:00,1042.7,---,43.67,68.6
2023-11-10T23:37:17-05:00,943.3,---,42.87,68.7
2023-11-11T00:19:18-05:00,886.5,---,43.71,67
2023-11-11T01:43:41-05:00,926.2,---,45.17,66.9
2023-11-11T03:20:17-05:00,761.3,---,42.19,67.9
2023-11-11T06:43:01-05:00,665.8,---,43.15,65.3
2023-11-11T08:10:53-05:00,626,---,42.81,64.5
2023-11-11T08:50:53-05:00,758.5,---,45.16,67.2
2023-11-11T09:30:53-05:00,811.4,---,43.82,68
2023-11-11T10:10:53-05:00,742.9,---,42.38,67.9
2023-11-11T10:50:54-05:00,705.8,---,43.37,67.6
2023-11-11T11:30:54-05:00,688.5,---,42.42,68.2
2023-11-11T12:10:54-05:00,688,---,43.6,67.8
2023-11-11T12:50:54-05:00,652.9,---,42.32,67.2
2023-11-11T13:30:54-05:00,684.8,---,42.19,67.1
2023-11-11T14:11:55-05:00,674.2,---,42.15,67.5
2023-11-11T15:30:00-05:00,---,---,---,---
2023-11-11T16:10:00-05:00,---,---,---,---
2023-11-11T16:50:00-05:00,---,---,---,---
2023-11-11T17:30:00-05:00,---,---,---,---
2023-11-11T18:10:00-05:00,---,---,---,---
2023-11-11T18:50:00-05:00,---,---,---,---
2023-11-11T19:30:00-05:00,---,---,---,---
2023-11-11T20:10:00-05:00,---,---,---,---
2023-11-11T20:50:00-05:00,---,---,---,---
2023-11-11T21:29:10-05:00,806.4,---,43.27,66.5
2023-11-11T22:09:10-05:00,903.3,---,44.48,66
2023-11-11T22:55:10-05:00,1636.3,---,45.42,67.3
2023-11-11T23:35:11-05:00,1638.4,---,47.18,66.9
2023-11-12T00:15:11-05:00,1173.6,---,43.52,66.7
2023-11-12T00:55:11-05:00,1000.4,---,43.22,66.3
2023-11-12T01:35:11-05:00,931.4,---,44.05,64.8
2023-11-12T02:15:11-05:00,895.1,---,43.16,65.1
2023-11-12T02:55:11-05:00,795.3,---,43.8,64
2023-11-12T03:35:11-05:00,767.8,---,44.25,63.3
2023-11-12T04:16:11-05:00,741.8,---,43.36,63.5
2023-11-12T04:56:11-05:00,722.6,---,43.15,63.3
2023-11-12T05:36:12-05:00,714.7,---,43.59,62.7
2023-11-12T06:17:12-05:00,676.3,---,44.25,62
2023-11-12T06:57:12-05:00,623.5,---,43.03,62.3
2023-11-12T07:37:12-05:00,554.1,---,43.64,61.9
2023-11-12T08:17:12-05:00,587.4,---,42.29,62.5
2023-11-12T08:57:12-05:00,566.6,---,42.64,62
2023-11-12T09:37:12-05:00,712.5,---,42.09,66.6
2023-11-12T10:16:12-05:00,896.7,---,42.72,67.1
