timestamp,co2[ppm],heartbeat[undefined],humidity[%],pressure[Pa],temperature[°F]
2023-06-07T09:09:44-04:00,761,---,55.02,96349.4,63.3
2023-06-07T09:10:38-04:00,864.3,---,55.52,96349.3,64.1
2023-06-07T09:11:38-04:00,829.3,---,53.26,96355.1,64.9
2023-06-07T09:12:38-04:00,750.2,---,52.22,96355,65.3
2023-06-07T09:13:38-04:00,745.3,---,51.67,96343.4,65.6
2023-06-07T09:14:38-04:00,745.3,---,51.23,96344,65.8
2023-06-07T09:15:38-04:00,741.3,---,50.91,96345.6,66.1
2023-06-07T09:16:38-04:00,738,---,50.64,96339.6,66.3
2023-06-07T09:17:38-04:00,739.8,---,50.46,96339.8,66.4
2023-06-07T09:18:38-04:00,738.5,---,50.14,96337.5,66.6
2023-06-07T09:22:25-04:00,732,---,49.44,96338.1,66.8
2023-06-07T09:23:21-04:00,726.3,---,49.38,96340.8,66.9
2023-06-07T09:26:01-04:00,722,---,48.98,96337.5,67.1
2023-06-07T09:26:57-04:00,713.7,---,49.06,96332.1,67.2
2023-06-07T09:27:57-04:00,711.9,---,49.17,96331.4,67.3
2023-06-07T09:28:57-04:00,716.1,---,49.03,96330.5,67.5
2023-06-07T09:29:57-04:00,785.3,---,49,96331.4,67.8
2023-06-07T09:30:00-04:00,---,---,---,---,---
2023-06-07T09:30:57-04:00,761.5,---,47.72,96331.1,68.3
2023-06-07T09:31:57-04:00,719.5,---,47.36,96325.9,68.6
2023-06-07T09:32:57-04:00,724.3,---,46.99,96326,68.8
2023-06-07T09:33:57-04:00,723.8,---,46.72,96325.7,69
2023-06-07T09:34:57-04:00,723.6,---,46.49,96324.5,69.1
2023-06-07T09:35:57-04:00,721.2,---,46.33,96323.3,69.2
2023-06-07T09:36:57-04:00,716.2,---,46.15,96326.8,69.2
2023-06-07T09:38:02-04:00,716.3,---,46.05,96320.6,69.3
2023-06-07T09:38:57-04:00,717.1,---,45.95,96321.2,69.4
2023-06-07T09:39:57-04:00,710.5,---,45.89,96319.5,69.4
2023-06-07T09:40:00-04:00,---,---,---,---,---
2023-06-07T09:40:57-04:00,709.1,---,45.79,96317.6,69.4
2023-06-07T09:43:32-04:00,706,---,45.48,96318.6,69.6
2023-06-07T09:44:28-04:00,706.1,---,45.52,96324.3,69.6
2023-06-07T09:45:28-04:00,702.3,---,45.58,96318.7,69.5
2023-06-07T09:46:28-04:00,702,---,45.61,96325.8,69.5
2023-06-07T09:47:30-04:00,700.8,---,45.55,96321.7,69.5
2023-06-07T09:48:28-04:00,698.6,---,45.55,96326.6,69.5
2023-06-07T09:49:28-04:00,696.3,---,45.74,96319.9,69.9
2023-06-07T09:50:00-04:00,---,---,---,---,---
2023-06-07T09:50:28-04:00,704.7,---,46.13,96320.8,70.1
2023-06-07T09:51:28-04:00,704.6,---,46.74,96321.6,69.5
2023-06-07T09:52:28-04:00,701.6,---,46.57,96316.1,69.6
2023-06-07T09:53:28-04:00,696.4,---,46.17,96321.2,69.8
2023-06-07T09:54:28-04:00,694.2,---,45.81,96317,70
2023-06-07T09:55:28-04:00,693.3,---,45.53,96321.3,70.2
2023-06-07T09:56:28-04:00,694.3,---,46.72,96321.4,70.3
2023-06-07T09:57:28-04:00,700.8,---,47.62,96319.1,70.3
2023-06-07T09:58:28-04:00,704.1,---,47.94,96321,70.7
2023-06-07T09:59:33-04:00,708,---,47.86,96321.6,71.1
2023-06-07T10:00:00-04:00,---,---,---,---,---
2023-06-07T10:00:28-04:00,707.4,---,47.72,96323.4,71.4
2023-06-07T10:01:28-04:00,706.3,---,47.48,96320.9,71.7
2023-06-07T10:02:28-04:00,706.4,---,47.17,96314,72.2
2023-06-07T10:03:28-04:00,706.4,---,46.84,96313.1,72.6
2023-06-07T10:04:28-04:00,705.1,---,46.49,96313.2,73
2023-06-07T10:05:28-04:00,704,---,46.08,96309.9,73.3
2023-06-07T10:06:28-04:00,701.5,---,45.67,96316.5,73.7
2023-06-07T10:07:28-04:00,700.3,---,45.34,96309.1,74.1
2023-06-07T10:08:28-04:00,699.3,---,44.92,96311.8,74.5
2023-06-07T10:09:28-04:00,698.3,---,44.61,96311.4,74.8
2023-06-07T10:10:00-04:00,---,---,---,---,---
2023-06-07T10:10:28-04:00,698.3,---,44.24,96308,75.2
2023-06-07T10:11:28-04:00,695.7,---,42.83,96309.4,75.5
2023-06-07T10:12:28-04:00,685,---,41.93,96310.9,75.6
2023-06-07T10:13:28-04:00,679,---,41.38,96310.4,75.8
2023-06-07T10:14:28-04:00,677.8,---,40.62,96313.3,75.8
2023-06-07T10:15:28-04:00,668.8,---,40.09,96315.6,75.8
2023-06-07T10:16:28-04:00,665.4,---,39.89,96309.5,75.8
2023-06-07T10:17:28-04:00,663.3,---,38.29,96313.1,75.4
2023-06-07T10:18:28-04:00,655.7,---,38.9,96312.7,74.5
2023-06-07T10:19:28-04:00,651.9,---,39.8,96309.2,73.8
2023-06-07T10:20:00-04:00,---,---,---,---,---
2023-06-07T10:21:55-04:00,653,---,41.2,96317.3,72.4
2023-06-07T10:22:50-04:00,645.1,---,41.78,96315,71.9
2023-06-07T10:23:50-04:00,644.7,---,42.81,96305.5,71.7
2023-06-07T10:24:50-04:00,490.4,---,38.84,96301.6,69.8
2023-06-07T10:25:50-04:00,415.9,---,40.71,96308.5,68.3
2023-06-07T10:26:50-04:00,413.3,---,41.32,96308.7,67
2023-06-07T10:27:50-04:00,411.7,---,42.48,96311.5,65.9
2023-06-07T10:28:50-04:00,409.4,---,44.19,96310.4,65.1
2023-06-07T10:29:50-04:00,409.7,---,45.45,96313.6,64.1
2023-06-07T10:30:00-04:00,---,---,---,---,---
2023-06-07T10:30:50-04:00,411.3,---,46.23,96311,63.6
2023-06-07T10:31:50-04:00,410.3,---,45.85,96311.8,63.1
2023-06-07T10:32:50-04:00,407.9,---,45.99,96323.5,62.6
2023-06-07T10:33:50-04:00,406.8,---,48.43,96323.5,62.1
2023-06-07T10:34:50-04:00,406.3,---,46.19,96318.6,61.8
2023-06-07T10:35:50-04:00,406.6,---,46.5,96316.5,61.5
2023-06-07T10:36:50-04:00,406,---,47.33,96317.7,61.1
2023-06-07T10:37:50-04:00,406,---,48.64,96320.7,61
2023-06-07T10:38:50-04:00,407.8,---,46.69,96321.7,60.9
2023-06-07T10:39:50-04:00,408,---,47.85,96322.1,60.5
2023-06-07T10:40:00-04:00,---,---,---,---,---
2023-06-07T10:40:50-04:00,408,---,48.36,96317.4,60.4
2023-06-07T10:41:50-04:00,407.4,---,48.85,96319.8,60.4
2023-06-07T10:42:50-04:00,406.7,---,47.33,96316.1,60.4
2023-06-07T10:43:50-04:00,408.3,---,47.77,96314.6,60.3
2023-06-07T10:44:50-04:00,409,---,48.4,96313.5,60.2
2023-06-07T10:45:50-04:00,409,---,48.51,96313.8,60.3
2023-06-07T10:46:50-04:00,408.7,---,48.17,96315.5,60.4
2023-06-07T10:47:50-04:00,408,---,47.62,96310.8,60.2
2023-06-07T10:48:50-04:00,408.5,---,48.82,96310.4,60.3
2023-06-07T10:49:51-04:00,408,---,48.59,96309.4,60.3
2023-06-07T10:50:00-04:00,---,---,---,---,---
2023-06-07T10:50:50-04:00,407.3,---,49.08,96312.3,60.4
2023-06-07T10:51:50-04:00,407.7,---,48.82,96313.2,60.7
2023-06-07T10:52:50-04:00,407,---,48.41,96307.4,60.9
2023-06-07T10:53:50-04:00,407.4,---,47.05,96311.2,60.9
2023-06-07T10:54:50-04:00,407.9,---,48.64,96310.7,60.9
2023-06-07T10:55:50-04:00,407.8,---,47.27,96307.1,60.9
2023-06-07T10:56:50-04:00,407.3,---,47.55,96308.4,61
2023-06-07T10:57:50-04:00,407.1,---,48.77,96303.5,61.1
2023-06-07T10:58:50-04:00,407.3,---,47.33,96308.2,61.1
2023-06-07T10:59:50-04:00,407.2,---,47.83,96304.9,61.2
2023-06-07T11:00:00-04:00,---,---,---,---,---
2023-06-07T11:00:50-04:00,531.9,---,54.66,96308.2,62.2
2023-06-07T11:01:51-04:00,637,---,53.62,96302.9,62.9
2023-06-07T11:02:51-04:00,637.2,---,52.92,96303.2,63.5
2023-06-07T11:03:50-04:00,638.1,---,52.16,96308.4,63.9
2023-06-07T11:04:50-04:00,639.4,---,51.72,96303,64.3
2023-06-07T11:05:51-04:00,640.9,---,51.42,96298.6,64.6
2023-06-07T11:06:50-04:00,641,---,50.91,96296.5,64.8
2023-06-07T11:07:50-04:00,640.8,---,50.55,96295.1,65.1
2023-06-07T11:08:51-04:00,641,---,50.46,96301.4,65.2
2023-06-07T11:09:51-04:00,641.5,---,50.2,96302.2,65.3
2023-06-07T11:10:00-04:00,---,---,---,---,---
2023-06-07T11:10:51-04:00,640.5,---,50.08,96288.4,65.5
2023-06-07T11:11:51-04:00,640.6,---,49.88,96292,65.6
2023-06-07T11:12:51-04:00,640.5,---,49.76,96297.2,65.8
2023-06-07T11:13:51-04:00,640.2,---,49.7,96292.8,65.8
2023-06-07T11:14:51-04:00,641.3,---,49.67,96292.8,65.9
2023-06-07T11:15:51-04:00,643,---,49.41,96290.2,66
2023-06-07T11:16:51-04:00,641.1,---,49.05,96288,66.1
2023-06-07T11:17:51-04:00,634.4,---,49,96287.4,66.2
2023-06-07T11:18:51-04:00,631.8,---,48.94,96288.9,66.3
2023-06-07T11:19:51-04:00,637.1,---,48.82,96284.2,66.5
2023-06-07T11:20:00-04:00,---,---,---,---,---
2023-06-07T11:20:51-04:00,638.3,---,48.59,96284.7,66.7
2023-06-07T11:21:51-04:00,635,---,48.35,96293.4,66.7
2023-06-07T11:22:51-04:00,633,---,48.11,96291.2,66.8
2023-06-07T11:23:51-04:00,626.7,---,48,96287.8,66.9
2023-06-07T11:24:51-04:00,629.2,---,48.03,---,67
2023-06-07T11:24:52-04:00,---,---,---,96286,---
2023-06-07T11:25:51-04:00,637,---,47.88,96284.4,67
2023-06-07T11:26:51-04:00,637.3,---,47.93,96283.9,67.1
2023-06-07T11:27:51-04:00,638,---,47.88,96287.3,67.1
2023-06-07T11:28:51-04:00,638.2,---,47.93,96284.7,67.1
2023-06-07T11:29:51-04:00,639.1,---,47.93,96287.2,67.1
2023-06-07T11:30:00-04:00,---,---,---,---,---
2023-06-07T11:30:51-04:00,639.5,---,47.93,96285.6,67.1
2023-06-07T11:31:51-04:00,641.5,---,47.82,96288.2,67.2
2023-06-07T11:32:51-04:00,640.8,---,47.79,96289.3,67.2
2023-06-07T11:33:51-04:00,641.3,---,47.72,96290.8,67.2
2023-06-07T11:34:51-04:00,638.4,---,47.69,96289.7,67.2
2023-06-07T11:35:51-04:00,636.8,---,47.69,96289.4,67.2
2023-06-07T11:36:51-04:00,636.8,---,47.62,96288.1,67.2
2023-06-07T11:37:51-04:00,635.8,---,47.69,96289.2,67.2
2023-06-07T11:38:51-04:00,638.8,---,47.69,96294.1,67.2
2023-06-07T11:39:51-04:00,638.6,---,47.59,96291.9,67.2
2023-06-07T11:40:51-04:00,642,---,47.48,96289.4,67.4
2023-06-07T11:41:51-04:00,643.8,---,47.34,96290.3,67.7
2023-06-07T11:42:51-04:00,626.6,---,46.98,96289.4,67.9
2023-06-07T11:43:51-04:00,621.3,---,46.68,96286.3,68.1
2023-06-07T11:44:51-04:00,623,---,46.24,96286.9,68.3
2023-06-07T11:45:51-04:00,618.3,---,45.9,96287.7,68.6
2023-06-07T11:46:51-04:00,616.3,---,45.57,96281.6,68.8
2023-06-07T11:47:51-04:00,613.7,---,45.27,96285.3,69
2023-06-07T11:48:51-04:00,614.2,---,44.96,96279.3,69.2
2023-06-07T11:49:51-04:00,614,---,44.63,96280.6,69.5
2023-06-07T12:17:11-04:00,644,---,45.15,96284.4,68.7
2023-06-07T12:18:06-04:00,631,---,45.38,96291.4,68.5
2023-06-07T12:19:06-04:00,623.8,---,45.45,96283.3,68.5
2023-06-07T12:20:06-04:00,618.7,---,45.51,96285.4,68.5
2023-06-07T12:21:06-04:00,616.6,---,45.55,96287.8,68.4
2023-06-07T12:22:06-04:00,615.9,---,45.48,96286.8,68.4
2023-06-07T12:23:06-04:00,613,---,45.91,96285.5,68.4
2023-06-07T12:24:07-04:00,620.5,---,45.61,96287.5,68.4
2023-06-07T12:25:06-04:00,619.8,---,45.75,96287.2,68.3
2023-06-07T12:26:06-04:00,619.8,---,45.88,96292.1,68.3
2023-06-07T12:27:06-04:00,620.2,---,45.95,96286.7,68.2
2023-06-07T12:28:06-04:00,621.2,---,46.11,96288.8,68.1
2023-06-07T12:29:06-04:00,623.8,---,46.25,96288.7,68
