timestamp,co2[ppm],heartbeat[undefined],humidity[%],no2[ppb],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-03-23T21:30:01-04:00,1677,---,56.5,977.32,---,12,7.5,10.5,97048,63.3
2023-03-23T21:38:36-04:00,---,---,---,---,---,---,---,---,97053,---
2023-03-28T01:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-28T03:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-28T05:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-28T07:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-28T09:19:05-04:00,515.1,---,37.12,206.07,---,2.6,1.6,2.6,98926.1,71.6
2023-03-28T09:50:19-04:00,---,---,---,---,---,---,---,---,---,69.9
2023-03-28T11:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-28T11:31:13-04:00,524.7,---,---,303.35,---,---,---,---,98636.3,---
2023-03-28T11:38:16-04:00,534.6,---,30.32,210.31,---,1.3,0.7,1.3,98632.4,70.9
2023-03-28T11:44:25-04:00,---,---,29.73,---,---,---,---,---,---,---
2023-03-28T11:52:35-04:00,---,---,30.33,---,---,---,---,---,---,71.8
2023-03-28T12:00:42-04:00,---,---,---,---,---,---,---,---,98615.2,---
2023-03-28T12:06:54-04:00,---,---,30.79,---,---,---,---,---,---,---
2023-03-28T12:10:49-04:00,735.1,---,30.84,123.5,---,1,0.4,0.8,---,72.6
2023-03-28T12:16:12-04:00,759.4,---,---,---,---,---,---,---,---,---
2023-03-28T12:25:28-04:00,786,---,30.8,121.21,---,2.5,1,2,98604.4,73.2
2023-03-28T12:34:31-04:00,---,---,---,---,---,1,0.2,0.7,---,---
2023-03-28T12:41:36-04:00,802.7,---,30.82,120.02,---,0.6,0.2,0.5,98599.3,73
2023-03-28T12:48:03-04:00,---,---,---,---,---,---,---,---,98592.2,---
2023-03-28T12:57:57-04:00,---,---,31.42,---,---,0.8,0.3,0.8,---,---
2023-03-28T13:03:59-04:00,880,---,31.63,117.49,---,0.8,0.2,0.7,98579,73.3
