timestamp,co2[ppm],eco2[ppm],heartbeat[undefined],humidity[%],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F],tvoc[ppb],voc[undefined]
2023-01-01T00:00:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T01:00:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T02:00:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T03:00:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T04:00:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T05:03:48-05:00,421.9,19136.58,---,73.1,---,4.5,2.2,3.3,99393,44.2,---,5270.58
2023-01-01T06:03:48-05:00,421,14756.92,---,71.68,---,8.2,4.8,7.7,99477.8,43.7,---,4064.92
2023-01-01T07:03:48-05:00,421.1,14275.25,---,70.78,---,12,5.5,9.8,99554.9,43.3,---,3932.08
2023-01-01T08:03:48-05:00,418.3,11619.92,---,68.39,---,8.1,5,7.6,99656.6,43.1,---,3200.75
2023-01-01T09:03:49-05:00,414,7700.33,---,60.34,---,8.6,4.5,7.6,99686.4,43.9,---,2121.83
2023-01-01T10:10:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T11:10:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T12:10:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T13:10:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
2023-01-01T14:13:50-05:00,411,9924.5,---,58.95,---,15,8.2,14.6,99534.8,46.3,---,2734.42
2023-01-01T15:13:50-05:00,413,11149.42,---,57.57,---,18.3,9.4,16.8,99495.2,46.3,---,3071.42
2023-01-01T16:13:50-05:00,415,14443.5,---,59.93,---,15,8.1,14.2,99550.2,46.5,---,3978.42
2023-01-01T17:13:50-05:00,423.2,21992.83,---,62.62,---,17.5,8.3,14.9,99521.3,45.3,---,6057.08
2023-01-01T18:13:50-05:00,434,28252.25,---,65.38,---,13.9,8,13.5,99604.1,44.7,---,7780.25
2023-01-01T19:20:00-05:00,---,---,---,---,---,---,---,---,---,---,---,---
