FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
3199,ON-2023-COC5,ON, ,COC5, ,48.847,-79.5585,2023,6,1,2023-06-01,,2023-06-26 00:00:00,9.5,N,N,IFR,MOD, , , , , ,2024-04-01 00:00:00
3674,ON-2023-COC7,ON, ,COC7, ,48.9843,-79.6735,2023,6,1,2023-06-01,,2023-10-17 00:00:00,37742.0,N,N,IFR,FUL, , , , , ,2024-04-01 00:00:00
3994,QC-2023-20231080225,QC, ,20231080225, ,48.0571,-75.2646,2023,6,1,2023-06-01,,2023-07-14 00:00:00,7684.740133,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
3995,QC-2023-20231080226,QC, ,20231080226, ,47.9918,-75.0173,2023,6,1,2023-06-01,,2023-07-09 00:00:00,1627.75568521,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
3996,QC-2023-20231080229,QC, ,20231080229, ,47.6953,-74.0666,2023,6,1,2023-06-01,,2023-06-30 00:00:00,223.437324005,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
3997,QC-2023-20231080230,QC, ,20231080230, ,46.8307,-72.7312,2023,6,1,2023-06-01,,2023-06-10 00:00:00,13.7719566722,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
3998,QC-2023-20231080236,QC, ,20231080236, ,49.3775,-72.0667,2023,6,1,2023-06-01,,2023-07-15 00:00:00,5952.474156,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
3999,QC-2023-20231080238,QC, ,20231080238, ,47.5952,-76.5984,2023,6,1,2023-06-01,,2023-07-11 00:00:00,279.002530063,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4000,QC-2023-20231080244,QC, ,20231080244, ,48.3837,-76.6316,2023,6,1,2023-06-01,,2023-06-15 00:00:00,5.28561882472,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4001,QC-2023-20231080245,QC, ,20231080245, ,48.4702,-76.8563,2023,6,1,2023-06-01,,2023-08-19 00:00:00,6254.35826371,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4002,QC-2023-20231080248,QC, ,20231080248, ,47.9145,-75.7324,2023,6,1,2023-06-01,,2023-07-14 00:00:00,6435.395791,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4003,QC-2023-20231080249,QC, ,20231080249, ,49.3577,-71.0484,2023,6,1,2023-06-01,,2023-07-22 00:00:00,5302.21277982,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4004,QC-2023-20231080251,QC, ,20231080251, ,48.8067,-77.3003,2023,6,1,2023-06-01,,2023-06-16 00:00:00,30.4083789253,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4005,QC-2023-20231080253,QC, ,20231080253, ,49.104,-72.165,2023,6,1,2023-06-01,,2023-06-03 00:00:00,3.84001464082,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4006,QC-2023-20231080255,QC, ,20231080255, ,49.1062,-72.176,2023,6,1,2023-06-01,,2023-06-02 00:00:00,0.448114791767,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4007,QC-2023-20231080256,QC, ,20231080256, ,49.3013,-76.9185,2023,6,1,2023-06-01,,2023-09-02 00:00:00,4673.56850616,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4009,QC-2023-20231080265,QC, ,20231080265, ,49.4392,-71.5614,2023,6,1,2023-06-01,,2023-07-22 00:00:00,2235.287854,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4011,QC-2023-20231080271,QC, ,20231080271, ,50.292,-70.572,2023,6,1,2023-06-01,,2023-07-12 00:00:00,5120.53520136,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4012,QC-2023-20231080272,QC, ,20231080272, ,47.6158,-75.788,2023,6,1,2023-06-01,,2023-06-16 00:00:00,16.0031843513,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4013,QC-2023-20231080274,QC, ,20231080274, ,49.5084,-75.2876,2023,6,1,2023-06-01,,2023-10-17 00:00:00,34965.46073,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4014,QC-2023-20231080275,QC, ,20231080275, ,48.6549,-72.8672,2023,6,1,2023-06-01,,2023-06-21 00:00:00,1135.81419567,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4015,QC-2023-20231080276,QC, ,20231080276, ,47.2008,-72.7846,2023,6,1,2023-06-01,,2023-06-06 00:00:00,14.846582548,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4016,QC-2023-20231080277,QC, ,20231080277, ,49.5192,-72.6159,2023,6,1,2023-06-01,,2023-07-09 00:00:00,2616.95520127,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4017,QC-2023-20231080279,QC, ,20231080279, ,50.7482,-70.1974,2023,6,1,2023-06-01,,2023-07-12 00:00:00,1551.55168085,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4018,QC-2023-20231080281,QC, ,20231080281, ,49.062,-79.3576,2023,6,1,2023-06-01,,2023-08-17 00:00:00,8440.795798,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4020,QC-2023-20231080285,QC, ,20231080285, ,47.5277,-72.7103,2023,6,1,2023-06-01,,2023-06-05 00:00:00,0.529014237663,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4022,QC-2023-20231080287,QC, ,20231080287, ,49.4581,-72.5764,2023,6,1,2023-06-01,,2023-06-28 00:00:00,2148.07309484,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
